type	name	value	zone	address	bytes	access	other
Factory	PORTA_PCR15	---	Memory	0x4004903c	4	readWrite	strong	
Factory	PORTA_PCR16	---	Memory	0x40049040	4	readWrite	strong	
Factory	PORTA_PCR17	---	Memory	0x40049044	4	readWrite	strong	
Factory	PORTA_PCR18	---	Memory	0x40049048	4	readWrite	strong	
Factory	PORTA_PCR19	---	Memory	0x4004904c	4	readWrite	strong	
Factory	PORTA_PCR20	---	Memory	0x40049050	4	readWrite	strong	
Factory	PORTA_PCR21	---	Memory	0x40049054	4	readWrite	strong	
Factory	PORTA_PCR22	---	Memory	0x40049058	4	readWrite	strong	
Factory	PORTA_PCR23	---	Memory	0x4004905c	4	readWrite	strong	
Factory	PORTA_PCR24	---	Memory	0x40049060	4	readWrite	strong	
Factory	PORTA_PCR25	---	Memory	0x40049064	4	readWrite	strong	
Factory	PORTA_PCR26	---	Memory	0x40049068	4	readWrite	strong	
Factory	PORTA_PCR27	---	Memory	0x4004906c	4	readWrite	strong	
Factory	PORTA_PCR28	---	Memory	0x40049070	4	readWrite	strong	
Factory	PORTA_PCR29	---	Memory	0x40049074	4	readWrite	strong	
Factory	PORTA_PCR30	---	Memory	0x40049078	4	readWrite	strong	
Factory	PORTA_PCR31	---	Memory	0x4004907c	4	readWrite	strong	
Factory	PORTA_GPCLR	---	Memory	0x40049080	4	writeOnly	strong	
Factory	PORTA_GPCHR	---	Memory	0x40049084	4	writeOnly	strong	
Factory	PORTA_ISFR	---	Memory	0x400490a0	4	readWrite	strong	
Factory	PORTB_PCR0	---	Memory	0x4004a000	4	readWrite	strong	
Factory	PORTB_PCR1	---	Memory	0x4004a004	4	readWrite	strong	
Factory	PORTB_PCR2	---	Memory	0x4004a008	4	readWrite	strong	
Factory	PORTB_PCR3	---	Memory	0x4004a00c	4	readWrite	strong	
Factory	PORTB_PCR4	---	Memory	0x4004a010	4	readWrite	strong	
Factory	PORTB_PCR5	---	Memory	0x4004a014	4	readWrite	strong	
Factory	PORTB_PCR6	---	Memory	0x4004a018	4	readWrite	strong	
Factory	PORTB_PCR7	---	Memory	0x4004a01c	4	readWrite	strong	
Factory	PORTB_PCR8	---	Memory	0x4004a020	4	readWrite	strong	
Factory	PORTB_PCR9	---	Memory	0x4004a024	4	readWrite	strong	
Factory	PORTB_PCR10	---	Memory	0x4004a028	4	readWrite	strong	
Factory	PORTB_PCR11	---	Memory	0x4004a02c	4	readWrite	strong	
Factory	PORTB_PCR12	---	Memory	0x4004a030	4	readWrite	strong	
Factory	PORTB_PCR13	---	Memory	0x4004a034	4	readWrite	strong	
