type	name	value	zone	address	bytes	access	other
Factory	ROM_PERIPHID6	0x0	Memory	0xf0002fd8	4	readOnly	strong	
Factory	ROM_PERIPHID7	0x0	Memory	0xf0002fdc	4	readOnly	strong	
Factory	ROM_PERIPHID0	0x0	Memory	0xf0002fe0	4	readOnly	strong	
Factory	ROM_PERIPHID1	0xe0	Memory	0xf0002fe4	4	readOnly	strong	
Factory	ROM_PERIPHID2	0x8	Memory	0xf0002fe8	4	readOnly	strong	
Factory	ROM_PERIPHID3	0x0	Memory	0xf0002fec	4	readOnly	strong	
Factory	ROM_COMPID0	0xd	Memory	0xf0002ff0	4	readOnly	strong	
Factory	ROM_COMPID1	0x10	Memory	0xf0002ff4	4	readOnly	strong	
Factory	ROM_COMPID2	0x5	Memory	0xf0002ff8	4	readOnly	strong	
Factory	ROM_COMPID3	0xb1	Memory	0xf0002ffc	4	readOnly	strong	
Factory	MCM_PLASC	0x7	Memory	0xf0003008	2	readOnly	strong	
Factory	MCM_PLAMC	0xd	Memory	0xf000300a	2	readOnly	strong	
Factory	MCM_PLACR	0x50	Memory	0xf000300c	4	readWrite	strong	
Factory	MCM_CPO	0x0	Memory	0xf0003040	4	readWrite	strong	
Factory	FGPIOA_PDOR	0x0	Memory	0xf80ff000	4	readWrite	strong	
Factory	FGPIOA_PSOR	0x0	Memory	0xf80ff004	4	writeOnly	strong	
Factory	FGPIOA_PCOR	0x0	Memory	0xf80ff008	4	writeOnly	strong	
Factory	FGPIOA_PTOR	0x0	Memory	0xf80ff00c	4	writeOnly	strong	
Factory	FGPIOA_PDIR	0x0	Memory	0xf80ff010	4	readOnly	strong	
Factory	FGPIOA_PDDR	0x0	Memory	0xf80ff014	4	readWrite	strong	
Factory	FGPIOB_PDOR	0x0	Memory	0xf80ff040	4	readWrite	strong	
Factory	FGPIOB_PSOR	0x0	Memory	0xf80ff044	4	writeOnly	strong	
Factory	FGPIOB_PCOR	0x0	Memory	0xf80ff048	4	writeOnly	strong	
Factory	FGPIOB_PTOR	0x0	Memory	0xf80ff04c	4	writeOnly	strong	
Factory	FGPIOB_PDIR	0x0	Memory	0xf80ff050	4	readOnly	strong	
Factory	FGPIOB_PDDR	0x0	Memory	0xf80ff054	4	readWrite	strong	
Factory	FGPIOC_PDOR	0x0	Memory	0xf80ff080	4	readWrite	strong	
Factory	FGPIOC_PSOR	0x0	Memory	0xf80ff084	4	writeOnly	strong	
Factory	FGPIOC_PCOR	0x0	Memory	0xf80ff088	4	writeOnly	strong	
Factory	FGPIOC_PTOR	0x0	Memory	0xf80ff08c	4	writeOnly	strong	
Factory	FGPIOC_PDIR	0x0	Memory	0xf80ff090	4	readOnly	strong	
Factory	FGPIOC_PDDR	0x0	Memory	0xf80ff094	4	readWrite	strong	
Factory	FGPIOD_PDOR	0x0	Memory	0xf80ff0c0	4	readWrite	strong	
Factory	FGPIOD_PSOR	0x0	Memory	0xf80ff0c4	4	writeOnly	strong	
Factory	FGPIOD_PCOR	0x0	Memory	0xf80ff0c8	4	writeOnly	strong	
Factory	FGPIOD_PTOR	0x0	Memory	0xf80ff0cc	4	writeOnly	strong	
Factory	FGPIOD_PDIR	0x0	Memory	0xf80ff0d0	4	readOnly	strong	
Factory	FGPIOD_PDDR	0x0	Memory	0xf80ff0d4	4	readWrite	strong	
Factory	FGPIOE_PDOR	0x20000000	Memory	0xf80ff100	4	readWrite	strong	
Factory	FGPIOE_PSOR	0x0	Memory	0xf80ff104	4	writeOnly	strong	
Factory	FGPIOE_PCOR	0x0	Memory	0xf80ff108	4	writeOnly	strong	
Factory	FGPIOE_PTOR	0x0	Memory	0xf80ff10c	4	writeOnly	strong	
Factory	FGPIOE_PDIR	0x20000000	Memory	0xf80ff110	4	readOnly	strong	
Factory	FGPIOE_PDDR	0x20000000	Memory	0xf80ff114	4	readWrite	strong	
Factory	SHCSR	0x0	Memory	0xe000ed24	4	readWrite	weak	
Factory	DFSR	0x3	Memory	0xe000ed30	4	readWrite	weak	
Factory	DHCSR	0x1030003	Memory	0xe000edf0	4	readWrite	weak	
Factory	DCRSR	0x0	Memory	0xe000edf4	4	writeOnly	weak	
Factory	DCRDR	0x0	Memory	0xe000edf8	4	readWrite	weak	
Factory	DEMCR	0x1000000	Memory	0xe000edfc	4	readWrite	weak	
Factory	BP_CTRL	0x21	Memory	0xe0002000	4	readWrite	weak	
Factory	BP_COMP0	0x800005a3	Memory	0xe0002008	4	readWrite	weak	
Factory	BP_COMP1	0x0	Memory	0xe000200c	4	readWrite	weak	
Factory	BP_COMP2	0x0	Memory	0xe0002010	4	readWrite	weak	
Factory	BP_COMP3	0x0	Memory	0xe0002014	4	readWrite	weak	
Factory	BP_PIDR4	0x4	Memory	0xe0002fd0	4	readOnly	weak	
Factory	BP_PIDR5	0x0	Memory	0xe0002fd4	4	readOnly	weak	
Factory	BP_PIDR6	0x0	Memory	0xe0002fd8	4	readOnly	weak	
Factory	BP_PIDR7	0x0	Memory	0xe0002fdc	4	readOnly	weak	
Factory	BP_PIDR0	0xb	Memory	0xe0002fe0	4	readOnly	weak	
Factory	BP_PIDR1	0xb0	Memory	0xe0002fe4	4	readOnly	weak	
Factory	BP_PIDR2	0xb	Memory	0xe0002fe8	4	readOnly	weak	
Factory	BP_PIDR3	0x0	Memory	0xe0002fec	4	readOnly	weak	
Factory	BP_CIDR0	0xd	Memory	0xe0002ff0	4	readOnly	weak	
Factory	BP_CIDR1	0xe0	Memory	0xe0002ff4	4	readOnly	weak	
Factory	BP_CIDR2	0x5	Memory	0xe0002ff8	4	readOnly	weak	
Factory	BP_CIDR3	0xb1	Memory	0xe0002ffc	4	readOnly	weak	
Factory	BP_LSR	0x0	Memory	0xe0002fb4	4	readOnly	weak	
Factory	BP_LAR	0x0	Memory	0xe0002fb0	4	writeOnly	weak	
Factory	DWT_CTRL	0x20000000	Memory	0xe0001000	4	readOnly	weak	
Factory	DWT_PCSR	0xffffffff	Memory	0xe000101c	4	readOnly	weak	
Factory	DWT_COMP0	0xfffffbbf	Memory	0xe0001020	4	readWrite	weak	
Factory	DWT_MASK0	0x1f	Memory	0xe0001024	4	readWrite	weak	
Factory	DWT_FUNCTION0	0x0	Memory	0xe0001028	4	readWrite	weak	
Factory	DWT_COMP1	0xffffffdd	Memory	0xe0001030	4	readWrite	weak	
Factory	DWT_MASK1	0x1f	Memory	0xe0001034	4	readWrite	weak	
Factory	DWT_FUNCTION1	0x0	Memory	0xe0001038	4	readWrite	weak	
Factory	DWT_PIDR4	0x4	Memory	0xe0001fd0	4	readOnly	weak	
Factory	DWT_PIDR5	0x0	Memory	0xe0001fd4	4	readOnly	weak	
Factory	DWT_PIDR6	0x0	Memory	0xe0001fd8	4	readOnly	weak	
Factory	DWT_PIDR7	0x0	Memory	0xe0001fdc	4	readOnly	weak	
Factory	DWT_PIDR0	0xa	Memory	0xe0001fe0	4	readOnly	weak	
Factory	DWT_PIDR1	0xb0	Memory	0xe0001fe4	4	readOnly	weak	
Factory	DWT_PIDR2	0xb	Memory	0xe0001fe8	4	readOnly	weak	
Factory	DWT_PIDR3	0x0	Memory	0xe0001fec	4	readOnly	weak	
Factory	DWT_CIDR0	0xd	Memory	0xe0001ff0	4	readOnly	weak	
Factory	DWT_CIDR1	0xe0	Memory	0xe0001ff4	4	readOnly	weak	
Factory	DWT_CIDR2	0x5	Memory	0xe0001ff8	4	readOnly	weak	
Factory	DWT_CIDR3	0xb1	Memory	0xe0001ffc	4	readOnly	weak	
Factory	DWT_LSR	0x0	Memory	0xe0001fb4	4	readOnly	weak	
Factory	DWT_LAR	0x0	Memory	0xe0001fb0	4	writeOnly	weak	
Factory	ROM_SCS	0xfff0f003	Memory	0xe00ff000	4	readOnly	weak	
Factory	ROM_DWT	0xfff02003	Memory	0xe00ff004	4	readOnly	weak	
Factory	ROM_BPU	0xfff03003	Memory	0xe00ff008	4	readOnly	weak	
Factory	ROM_END	0x0	Memory	0xe00ff00c	4	readOnly	weak	
Factory	ROM_MEMTYPE	0x1	Memory	0xe00fffcc	4	readOnly	weak	
Factory	ROM_PIDR4	0x4	Memory	0xe00fffd0	4	readOnly	weak	
Factory	ROM_PIDR5	0x0	Memory	0xe00fffd4	4	readOnly	weak	
Factory	ROM_PIDR6	0x0	Memory	0xe00fffd8	4	readOnly	weak	
Factory	ROM_PIDR7	0x0	Memory	0xe00fffdc	4	readOnly	weak	
Factory	ROM_PIDR0	0xc0	Memory	0xe00fffe0	4	readOnly	weak	
Factory	ROM_PIDR1	0xb4	Memory	0xe00fffe4	4	readOnly	weak	
Factory	ROM_PIDR2	0xb	Memory	0xe00fffe8	4	readOnly	weak	
Factory	ROM_PIDR3	0x0	Memory	0xe00fffec	4	readOnly	weak	
Factory	ROM_CIDR0	0xd	Memory	0xe00ffff0	4	readOnly	weak	
Factory	ROM_CIDR1	0x10	Memory	0xe00ffff4	4	readOnly	weak	
Factory	ROM_CIDR2	0x5	Memory	0xe00ffff8	4	readOnly	weak	
Factory	ROM_CIDR3	0xb1	Memory	0xe00ffffc	4	readOnly	weak	
Factory	NVIC_ISER	0x0	Memory	0xe000e100	4	readWrite	weak	
Factory	NVIC_ICER	0x0	Memory	0xe000e180	4	readWrite	weak	
Factory	NVIC_ISPR	0x0	Memory	0xe000e200	4	readWrite	weak	
Factory	NVIC_ICPR	0x0	Memory	0xe000e280	4	readWrite	weak	
Factory	NVIC_IPR0	0x0	Memory	0xe000e400	4	readWrite	weak	
Factory	NVIC_IPR1	0x0	Memory	0xe000e404	4	readWrite	weak	
Factory	NVIC_IPR2	0x0	Memory	0xe000e408	4	readWrite	weak	
Factory	NVIC_IPR3	0x0	Memory	0xe000e40c	4	readWrite	weak	
Factory	NVIC_IPR4	0x0	Memory	0xe000e410	4	readWrite	weak	
Factory	NVIC_IPR5	0x0	Memory	0xe000e414	4	readWrite	weak	
Factory	NVIC_IPR6	0x0	Memory	0xe000e418	4	readWrite	weak	
Factory	NVIC_IPR7	0x0	Memory	0xe000e41c	4	readWrite	weak	
Factory	MPU_TYPE	0x0	Memory	0xe000ed90	4	readOnly	weak	
Factory	CPUID	0x410cc600	Memory	0xe000ed00	4	readOnly	weak	
Factory	ICSR	0x0	Memory	0xe000ed04	4	readWrite	weak	
Factory	VTOR	0x0	Memory	0xe000ed08	4	readWrite	weak	
Factory	AIRCR	0xfa050000	Memory	0xe000ed0c	4	readWrite	weak	
Factory	SCR	0x0	Memory	0xe000ed10	4	readWrite	weak	
Factory	CCR	0x208	Memory	0xe000ed14	4	readOnly	weak	
Factory	SHPR2	0x0	Memory	0xe000ed1c	4	readWrite	weak	
Factory	SHPR3	0x0	Memory	0xe000ed20	4	readWrite	weak	
Factory	ACTLR	0x0	Memory	0xe000e008	4	readWrite	weak	
Factory	SYST_CSR	0x0	Memory	0xe000e010	4	readWrite	weak	
Factory	SYST_RVR	0xffffbf	Memory	0xe000e014	4	readWrite	weak	
Factory	SYST_CVR	0xffffff	Memory	0xe000e018	4	readWrite	weak	
Factory	SYST_CALIB	0x0	Memory	0xe000e01c	4	readOnly	weak	
